title,directors,year,genre,runtime,theater,screen_date,screen_times,film_key,wiki_id,language,country,gross_musd
Blue Giant,Yuzuru Tachikawa,,Thriller,0 days 02:00:00,Museum of Fine Arts,2024-03-30,7:00 PM,Blue Giant | unknown,,,,
Perfect Days,Wim Wenders,,Thriller,0 days 02:03:00,Museum of Fine Arts,2024-04-05,7:00 PM,Perfect Days | unknown,73588582,Japanese,Japan,26.9
Big Trouble in Little China,John Carpenter,1986,Comedy,0 days 01:40:00,Coolidge Corner Theatre,2024-05-24,11:59 PM,Big Trouble in Little China | 1986,697113,English,United States,11.1
Ghost Dog: The Way of the Samurai,Jim Jarmusch,1999,Crime,0 days 01:56:00,The Brattle,2024-05-24,"4:00 PM, 9:00 PM",Ghost Dog: The Way of the Samurai | 1999,471352,English,United States,9.3
Stray Dog,Akira Kurosawa,1949,Crime,0 days 02:02:00,The Brattle,2024-05-24,6:30 PM,Stray Dog | 1949,867905,Japanese,Japan,
Black Rain,Ridley Scott,1989,Drama,0 days 02:05:00,Coolidge Corner Theatre,2024-05-25,11:59 PM,Black Rain | 1989,,,,
Poetry,Lee Chang-dong,2010,Drama,0 days 02:19:00,Museum of Fine Arts,2024-05-25,2:30 PM,Poetry | 2010,26964199,Korean,South Korea,
Ring,Hideo Nakata,1998,Horror,0 days 01:36:00,Somerville Theatre,2024-05-25,11:59 PM,Ring | 1998,180785,Japanese,Japan,19.5
Jour de Fête,Jacques Tati,1949,Comedy,0 days 01:26:00,The Brattle,2024-05-25,4:45 PM,Jour de Fête | 1949,30863517,French,France,
Kind Hearts and Coronets,Robert Hamer,1949,Comedy,0 days 01:44:00,The Brattle,2024-05-25,2:30 PM,Kind Hearts and Coronets | 1949,350908,English,United Kingdom,
Stop Making Sense,Jonathan Demme,1984,Documentary,0 days 01:28:00,The Brattle,2024-05-25,10:00 PM,Stop Making Sense | 1984,1471831,English,United States,14.4
Thomasine & Bushrod,Gordon Parks Jr.,1974,Western,0 days 01:35:00,The Brattle,2024-05-25,7:00 PM,Thomasine & Bushrod | 1974,4340576,English,United States,
Young Frankenstein,Mel Brooks,1974,Comedy,0 days 01:46:00,The Brattle,2024-05-25,12:00 PM,Young Frankenstein | 1974,442647,English,United States,86.2
Audition,Takashi Miike,1999,Horror,0 days 01:55:00,The Brattle,2024-05-26,9:00 PM,Audition | 1999,587265,Japanese,Japan,0.131296
On the Town,"Stanley Donen, Gene Kelly",1949,Music,0 days 01:38:00,The Brattle,2024-05-26,"12:00 PM, 4:30 PM",On the Town | 1949,12816415,English,United States,4.4
The Taking of Pelham One Two Three,Joseph Sargent,1974,Crime,0 days 01:44:00,The Brattle,2024-05-26,"2:15 PM, 6:45 PM",The Taking of Pelham One Two Three | 1974,955409,English,United States,18.7
Heathers,Michael Lehmann,1989,Comedy,0 days 01:43:00,Coolidge Corner Theatre,2024-05-27,7:00 PM,Heathers | 1989,13901,English,United States,1.1
Spider-Man: Far From Home,Jon Watts,2019,Action,0 days 02:09:00,Coolidge Corner Theatre,2024-05-27,9:30 PM,Spider-Man: Far From Home | 2019,52179698,English,United States,1133.0
In a Lonely Place,Nicholas Ray,1950,Drama,0 days 01:34:00,Somerville Theatre,2024-05-27,9:00 PM,In a Lonely Place | 1950,812818,English,United States,1.4
"Sorry, Wrong Number",Anatole Litvak,1948,Thriller,0 days 01:29:00,Somerville Theatre,2024-05-27,7:15 PM,"Sorry, Wrong Number | 1948",183828,English,United States,2.8
All About My Mother,Pedro Almodóvar,1999,Comedy,0 days 01:41:00,The Brattle,2024-05-27,"2:30 PM, 7:15 PM",All About My Mother | 1999,61664,Spanish,Spain,68.0
